City,Population,Area (kmÂ²),Density
Aberdeen,217260,185.07,1173.934187
Armagh,16310,28,582.5
Bangor(NI),61011,35,1743.171429
Bangor(W),"16,990",6.5,2613.846154
Bath,94782,115,824.1913043
Belfast,345006,115,3000.052174
Birmingham,1020589,267.77,3811.438921
Bradford,483422,365,1324.443836
Brighton and Hove,91900,82,1120.731707
Bristol,399633,110,3633.027273
Cambridge,116701,40,2917.525
Canterbury,55000,40,1375
Cardiff,315040,140,2250.285714
Carlisle,75399,100,753.99
Chelmsford,156601,91,1720.89011
Chester,119221,36,3311.694444
Chichester,30925,39,792.9487179
City of London,9400,2.9,3241.37931
City of Westminster,255324,21,12158.28571
Colchester,154176,37,4166.918919
Coventry,306503,98,3127.581633
Derby,233708,78,2996.25641
Derry,93512,16,5844.5
Doncaster,291804,87,3354.068966
Dundee,150250,60,2504.166667
Dunfermline,53100,40,1327.5
Durham,48000,26,1846.153846
Edinburgh,448850,264,1700.189394
Ely,20000,10,2000
Exeter,107729,47,2292.106383
Glasgow,616430,175,3522.457143
Gloucester,106834,40,2670.85
Hereford,60000,22,2727.272727
Inverness,47000,37,1270.27027
Kingston upon Hull,260645,71,3671.056338
Lancaster,136948,56,2445.5
Leeds,726939,113,6433.088496
Leicester,294830,73,4038.767123
Lichfield,32000,35,914.2857143
Lincoln,100000,30,3333.333333
Lisburn,108400,30,3613.333333
Liverpool,467995,43.2,10833.21759
Manchester,430818,115.6,3726.799308
Milton Keynes,197131,89,2214.955056
Newcastle upon Tyne,148000,114,1298.245614
Newport,136789,190,719.9421053
Newry,27000,50,540
Norwich,126221,39,3236.435897
Nottingham,283969,74,3837.418919
Oxford,137343,45,3052.066667
Perth,47000,40,1175
Peterborough,158674,63,2518.634921
Plymouth,255826,364,702.8186813
Portsmouth,190370,244,780.204918
Preston,134818,114,1182.614035
Ripon,17000,5,3400
Salford,229179,37,6194.027027
Salisbury,112534,31,3630.129032
Sheffield,530375,367,1445.163488
Southampton,214859,51,4212.921569
Southend-on-Sea,172266,91,1893.032967
St Albans,130267,40,3256.675
St Asaph,3500,2,1750
St Davids,1600,2,800
Stirling,37000,36,1027.777778
Stoke-on-Trent,254438,36,7067.722222
Sunderland,294261,137,2147.890511
Swansea,230180,380,605.7368421
Truro,20000,20,1000
Wakefield,317342,365,869.430137
Wells,12000,1,12000
Winchester,121000,44,2750
Wolverhampton,244453,69,3542.797101
Worcester,101891,40,2547.275
Wrexham,61603,80,770.0375
York,175095,271,646.1070111