City,Avg_Crimes_per_km2_yearly,criminal-damage-arson,drugs,other-theft,possession-of-weapons,shoplifting,violent-crime,other-crime,anti-social-behaviour,public-order,theft-from-the-person,bicycle-theft,vehicle-crime,burglary,robbery,Mild,Serious,Dangerous,Overall_Safety_Score
Aberdeen,28,5,5,8,2,1,6,1,0,0,0,0,0,0,0,15,5,8,0.959
Armagh,25,1,1,0,0,20,0,0,3,0,0,0,0,0,0,21,4,0,0.972
Bangor(NI),1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.997
Bangor(W),38,6,0,7,0,0,13,1,6,4,1,0,0,0,0,12,16,13,0.926
Bath,39,4,0,0,0,0,18,4,3,5,1,1,2,1,0,9,15,19,0.92
Belfast,341,13,23,19,12,31,131,2,93,3,5,4,0,1,4,78,113,148,0.357
Birmingham,29,3,0,2,1,0,6,0,4,1,2,2,2,1,5,3,12,13,0.941
Bradford,15,1,1,2,0,0,6,0,0,1,1,0,0,3,0,4,2,9,0.974
Brighton and Hove,6,0,0,1,0,0,2,0,0,3,0,0,0,0,0,4,3,2,0.987
Bristol,48,0,5,13,0,0,13,0,5,5,2,1,1,1,2,23,12,16,0.92
Cambridge,21,2,0,1,0,0,8,0,4,1,1,3,1,0,0,2,11,8,0.955
Canterbury,207,3,2,22,0,14,81,2,51,14,6,5,3,3,1,54,76,85,0.601
Cardiff,4,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,2,0.992
Carlisle,84,8,7,3,0,3,46,1,11,5,0,0,0,0,0,19,24,46,0.836
Chelmsford,218,7,12,16,2,23,67,3,39,27,1,9,5,2,5,81,87,76,0.579
Chester,22,4,5,2,1,0,4,1,3,1,0,0,0,1,0,9,8,6,0.961
Chichester,7,0,2,0,0,0,3,1,0,1,0,0,0,0,0,4,1,3,0.988
City of London,120,2,1,20,2,1,30,0,0,21,35,1,0,0,7,43,24,39,0.817
City of Westminster,260,8,17,24,0,5,35,3,30,19,90,3,12,0,14,68,72,49,0.62
Colchester,20,0,1,5,0,0,8,1,1,0,0,1,1,2,0,7,3,10,0.966
Coventry,68,5,11,3,4,1,22,0,8,4,4,2,0,1,3,19,19,30,0.877
Derby,347,10,120,19,6,0,88,5,22,52,5,12,3,2,3,196,99,99,0.42
Derry,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0.994
Doncaster,456,12,25,24,13,3,287,1,25,36,14,1,1,2,12,89,75,314,0.13
Dundee,9,3,0,1,0,1,3,0,0,0,0,1,0,0,0,2,4,3,0.982
Dunfermline,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0.994
Durham,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0.993
Edinburgh,91,7,10,21,6,11,18,5,0,0,5,2,1,0,5,47,10,29,0.875
Ely,12,2,0,1,0,0,3,0,3,2,1,0,0,0,0,3,7,3,0.974
Exeter,68,1,0,3,0,40,10,1,9,2,1,0,0,0,1,46,12,11,0.91
Glasgow,109,11,15,19,9,12,19,12,0,2,4,5,0,0,1,60,18,29,0.845
Gloucester,21,2,0,0,0,1,3,0,8,2,1,1,0,3,0,3,13,6,0.954
Hereford,119,3,4,4,1,30,39,1,13,18,2,0,0,1,3,57,34,44,0.79
Inverness,19,4,3,1,0,2,4,2,0,0,1,2,0,0,0,8,6,4,0.97
Kingston upon Hull,24,2,0,11,0,9,2,0,0,0,0,0,0,0,0,20,2,2,0.974
Lancaster,27,0,0,2,0,6,5,0,11,0,0,0,0,0,3,8,11,8,0.95
Leeds,64,6,1,5,0,0,23,1,5,17,0,2,0,4,0,24,30,27,0.862
Leicester,52,4,1,3,0,0,23,0,3,5,1,4,3,4,1,9,19,28,0.892
Lichfield,6,0,0,0,0,0,1,0,3,1,0,0,0,0,1,1,4,2,0.986
Lincoln,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0.997
Lisburn,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.997
Liverpool,50,3,5,8,0,0,7,0,13,1,1,1,2,9,0,14,20,16,0.907
Manchester,68,7,2,5,0,0,25,1,5,17,0,2,0,4,0,25,31,29,0.855
Milton Keynes,26,0,0,1,0,1,6,0,3,6,2,3,1,0,3,8,13,9,0.946
Newcastle,6,0,0,2,2,0,1,0,0,1,0,0,0,0,0,3,1,3,0.989
Newport,7,1,0,1,0,0,1,1,1,1,0,0,0,1,0,3,3,2,0.986
Newry,71,11,3,8,0,3,21,0,24,0,0,0,0,1,0,14,35,22,0.857
Norwich,41,3,0,4,0,0,24,0,6,1,2,1,0,0,0,5,11,24,0.921
Nottingham,214,13,22,19,4,4,71,0,36,27,5,1,4,2,6,72,81,83,0.586
Oxford,470,4,9,31,7,248,62,6,12,25,43,13,2,4,4,319,56,77,0.423
Perth,7,2,0,1,2,0,2,0,0,0,0,0,0,0,0,1,2,4,0.986
Peterborough,149,8,8,5,7,4,43,4,27,17,1,13,5,0,7,38,70,57,0.69
Plymouth,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0.99
Portsmouth,15,2,2,1,0,0,7,0,1,1,0,0,0,1,0,4,4,8,0.971
Preston,68,4,4,2,1,0,15,0,33,3,1,0,1,1,3,9,41,20,0.851
Ripon,24,2,1,1,0,4,8,0,5,1,0,1,1,0,0,7,10,8,0.954
Salford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Salisbury,195,13,5,5,1,9,66,2,63,20,1,3,3,2,2,41,102,71,0.582
Sheffield,52,1,1,3,0,2,16,2,10,14,0,0,0,3,0,22,25,19,0.89
Southampton,246,7,26,12,3,12,113,4,19,24,8,6,1,6,5,78,57,127,0.55
Southend-on-Sea,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0.995
St Albans,56,4,2,8,1,0,20,0,16,1,2,0,0,2,0,11,21,23,0.892
St Asaph,10,2,0,1,0,0,2,2,1,0,0,1,0,1,0,3,4,3,0.982
St Davids,3,0,0,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0.997
Stirling,25,3,1,6,0,1,6,1,0,0,2,5,0,0,0,9,8,6,0.959
Stoke-on-Trent,33,3,0,0,2,0,10,0,5,5,0,0,4,4,0,5,17,16,0.925
Sunderland,67,4,2,2,0,0,17,0,31,8,0,0,0,3,0,12,43,20,0.848
Swansea,70,6,3,5,0,1,21,1,7,17,2,6,0,0,1,27,36,22,0.853
Truro,202,6,3,6,1,43,63,2,49,21,1,1,0,3,3,75,77,70,0.618
Wakefield,21,3,0,3,0,0,9,0,2,3,0,0,1,0,0,6,9,9,0.956
Wells,15,1,1,2,0,1,7,0,1,1,0,0,0,0,1,5,3,8,0.973
Winchester,10,0,2,0,0,0,4,0,3,0,1,0,0,0,0,2,3,4,0.982
Wolverhampton,71,4,3,3,0,0,38,1,5,6,3,2,1,1,4,13,18,43,0.861
Worcester,43,3,3,1,1,1,14,1,15,2,0,2,0,0,0,8,22,15,0.91
Wrexham,3,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,2,0.994
York,4,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,3,1,0.99