City,Major Hospitals,Major Pharmacies,Population,Hospital Density,Pharmacy Density,Points
Aberdeen,8,13,217260,27157.5,16712.30769,
Armagh,5,8,16310,3262,2038.75,
Bangor (NI),1,7,61011,61011,8715.857143,
Bangor (W),1,4,"16,990",16990,4247.5,
Bath,2,5,94782,47391,18956.4,
Belfast,9,57,345006,38334,6052.736842,
Birmingham,60,218,1020589,17009.81667,4681.600917,
Bradford,14,79,483422,34530.14286,6119.265823,
Brighton and Hove,15,35,91900,6126.666667,2625.714286,
Bristol,4,15,399633,99908.25,26642.2,
Cambridge,18,60,116701,6483.388889,1945.016667,
Canterbury,46,120,55000,1195.652174,458.3333333,
Cardiff,26,52,315040,12116.92308,6058.461538,
Carlisle,3,4,75399,25133,18849.75,
Chelmsford,15,25,156601,10440.06667,6264.04,
Chester,4,2,119221,29805.25,59610.5,
Chichester,6,14,30925,5154.166667,2208.928571,
City of London,2,13,9400,4700,723.0769231,
City of Westminster,20,94,255324,12766.2,2716.212766,
Colchester,6,27,154176,25696,5710.222222,
Coventry,9,48,306503,34055.88889,6385.479167,
Derby,12,58,233708,19475.66667,4029.448276,
Derry,1,6,93512,93512,15585.33333,
Doncaster,6,33,291804,48634,8842.545455,
Dundee,5,36,150250,30050,4173.611111,
Dunfermline,2,5,53100,26550,10620,
Durham,9,21,48000,5333.333333,2285.714286,
Edinburgh,21,180,448850,21373.80952,2493.611111,
Ely,3,8,20000,6666.666667,2500,
Exeter,11,20,107729,9793.545455,5386.45,
Glasgow,3,5,616430,205476.6667,123286,
Gloucester,5,18,106834,21366.8,5935.222222,
Hereford,3,11,60000,20000,5454.545455,
Inverness,2,10,47000,23500,4700,
Kingston upon Hull,7,36,260645,37235,7240.138889,
Lancaster,18,51,136948,7608.222222,2685.254902,
Leeds,25,155,726939,29077.56,4689.929032,
Leicester,3,18,294830,98276.66667,16379.44444,
Lichfield,3,9,32000,10666.66667,3555.555556,
Lincoln,28,49,100000,3571.428571,2040.816327,
Lisburn,1,26,108400,108400,4169.230769,
Liverpool,41,56,467995,11414.5122,8357.053571,
Manchester,26,99,430818,16569.92308,4351.69697,
Milton Keynes,1,44,197131,197131,4480.25,
Newcastle upon Tyne,8,41,148000,18500,3609.756098,
Newport,17,45,136789,8046.411765,3039.755556,
Newry,1,10,27000,27000,2700,
Norwich,5,29,126221,25244.2,4352.448276,
Nottingham,2,58,283969,141984.5,4896.017241,
Oxford,8,44,137343,17167.875,3121.431818,
Perth,4,18,47000,11750,2611.111111,
Peterborough,3,32,158674,52891.33333,4958.5625,
Plymouth,17,61,255826,15048.58824,4193.868852,
Portsmouth,15,46,190370,12691.33333,4138.478261,
Preston,6,33,134818,22469.66667,4085.393939,
Ripon,2,4,17000,8500,4250,
Salford,6,22,229179,38196.5,10417.22727,
Salisbury,6,17,112534,18755.66667,6619.647059,
Sheffield,20,96,530375,26518.75,5524.739583,
Southampton,8,33,214859,26857.375,6510.878788,
Southend-on-Sea,2,22,172266,86133,7830.272727,
St Albans,6,29,130267,21711.16667,4491.965517,
St Asaph,1,5,3500,3500,700,
St Davids,0,2,1600,0,800,
Stirling,4,20,37000,9250,1850,
Stoke-on-Trent,9,39,254438,28270.88889,6524.051282,
Sunderland,12,28,294261,24521.75,10509.32143,
Swansea,9,33,230180,25575.55556,6975.151515,
Truro,2,6,20000,10000,3333.333333,
Wakefield,5,63,317342,63468.4,5037.174603,
Wells,2,3,12000,6000,4000,
Winchester,14,28,121000,8642.857143,4321.428571,
Wolverhampton,5,20,244453,48890.6,12222.65,
Worcester,10,21,101891,10189.1,4851.952381,
Wrexham,5,15,61603,12320.6,4106.866667,
York,18,82,175095,9727.5,2135.304878,