City,Universities,Top 100,Top 500,Top 2000,University_Quality_Score
Aberdeen,1,0,1,0,0.053
Armagh,1,0,0,0,0.003
Bangor (NI),1,0,0,0,0.003
Bangor (W),1,0,1,0,0.053
Bath,2,1,1,0,0.405
Belfast,14,1,5,8,0.644
Birmingham,36,1,5,30,0.723
Bradford,4,0,1,3,0.063
Brighton and Hove,20,0,3,17,0.219
Bristol,5,1,2,2,0.465
Cambridge,113,1,3,109,0.9
Canterbury,26,0,3,23,0.24
Cardiff,55,1,4,50,0.742
Carlisle,2,0,1,1,0.056
Chelmsford,4,0,1,3,0.063
Chester,1,0,1,0,0.053
Chichester,5,0,1,4,0.067
City of London,7,1,2,4,0.472
City of Westminster,26,1,3,22,0.589
Colchester,6,0,1,5,0.07
Coventry,8,0,2,6,0.127
Derby,13,0,2,11,0.145
Derry,0,0,0,0,0
Doncaster,0,0,0,0,0
Dundee,0,0,0,0,0
Dunfermline,0,0,0,0,0
Durham,12,1,3,8,0.539
Edinburgh,0,0,0,0,0
Ely,1,0,1,0,0.053
Exeter,9,0,2,7,0.13
Glasgow,0,0,0,0,0
Gloucester,3,0,1,2,0.06
Hereford,0,0,0,0,0
Inverness,0,0,0,0,0
Kingston upon Hull,2,0,1,1,0.056
Lancaster,11,0,2,9,0.137
Leeds,20,1,4,15,0.617
Leicester,0,0,0,0,0
Lichfield,0,0,0,0,0
Lincoln,23,0,3,20,0.23
Lisburn,0,0,0,0,0
Liverpool,16,1,3,12,0.554
Manchester,19,1,3,15,0.564
Milton Keynes,0,0,0,0,0
Newcastle upon Tyne,6,0,1,5,0.07
Newport,9,0,2,7,0.13
Newry,0,0,0,0,0
Norwich,4,0,1,3,0.063
Nottingham,0,0,0,0,0
Oxford,82,1,3,78,0.789
Perth,1,0,1,0,0.053
Peterborough,2,0,1,1,0.056
Plymouth,7,0,1,6,0.074
Portsmouth,11,0,2,9,0.137
Preston,1,0,1,0,0.053
Ripon,1,0,1,0,0.053
Salford,6,0,1,5,0.07
Salisbury,5,0,1,4,0.067
Sheffield,9,0,2,7,0.13
Southampton,10,0,2,8,0.134
Southend-on-Sea,3,0,1,2,0.06
St Albans,2,0,1,1,0.056
St Asaph,0,0,0,0,0
St Davids,0,0,0,0,0
Stirling,3,0,1,2,0.06
Stoke-on-Trent,2,0,1,1,0.056
Sunderland,8,0,2,6,0.127
Swansea,6,0,1,5,0.07
Truro,1,0,1,0,0.053
Wakefield,0,0,0,0,0
Wells,0,0,0,0,0
Winchester,5,0,1,4,0.067
Wolverhampton,3,0,1,2,0.06
Worcester,25,0,3,22,0.236
Wrexham,3,0,1,2,0.06
York,36,1,3,32,0.625